,cash,LQD,EFA,IEF,EEM,TLT,SHY,SPY
2009-03-24,0.0,0.0,0.0,0.0,0.0,0.0,1.2014982192340262,1.3913306682900203e-10
2009-03-25,0.0,0.0,0.0,0.0,0.0,0.0,1.2012127164206137,1.4060039895071329e-10
2009-03-26,0.0,0.0,0.0,0.0,0.0,0.0,1.2027868768006724,1.434659335007363e-10
2009-03-27,0.0,0.0,0.0,0.0,0.0,0.0,1.2033582533709537,1.4087656935687902e-10
2009-03-30,0.0,0.0,0.0,0.0,0.0,0.0,1.2045023666375223,1.3600857632202995e-10
2009-03-31,0.0,0.0,0.0,0.0,0.0,0.0,1.2062185983612843,1.3726879126007521e-10
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1.2059473151355904,1.2130845987563793e-10
2009-04-02,0.0,0.0,0.0,0.0,0.0,0.0,1.2039407583333386,1.2485516864929826e-10
2009-04-03,0.0,0.0,0.0,0.0,0.0,0.0,1.2012186516041314,1.260973435746228e-10
2009-04-06,0.0,0.0,0.0,0.0,0.0,0.0,1.202078745831175,1.2510961149686313e-10
2009-04-07,0.0,0.0,0.0,0.0,0.0,0.0,1.2025081747056032,1.221913711057093e-10
2009-04-08,0.0,0.0,0.0,0.0,0.0,0.0,1.2025081747056032,1.235083202000348e-10
2009-04-09,0.0,0.0,0.0,0.0,0.0,0.0,1.2010755910778677,1.2841697074108319e-10
2009-04-13,0.0,0.0,0.0,0.0,0.0,0.0,1.2033680216370093,1.2844686272983362e-10
2009-04-14,0.0,0.0,0.0,0.0,0.0,0.0,1.2043703108555857,1.2623201221393668e-10
2009-04-15,0.0,0.0,0.0,0.0,0.0,0.0,1.204944407677921,1.2757887539557505e-10
2009-04-16,0.0,0.0,0.0,0.0,0.0,0.0,1.2032244665194711,1.2944954816815602e-10
2009-04-17,0.0,0.0,0.0,0.0,0.0,0.0,1.201935067065818,1.3031752077003966e-10
2009-04-20,0.0,0.0,0.0,0.0,0.0,0.0,1.2030810350497514,1.2485516864929824e-10
2009-04-21,0.0,0.0,0.0,0.0,0.0,0.0,1.2032244665194711,1.2729451109450984e-10
2009-04-22,0.0,0.0,0.0,0.0,0.0,0.0,1.2032244665194711,1.2651639124737683e-10
2009-04-23,0.0,0.0,0.0,0.0,0.0,0.0,1.20236412499679,1.2775847777845174e-10
2009-04-24,0.0,0.0,0.0,0.0,0.0,0.0,1.20236412499679,1.2968900819040828e-10
2009-04-27,0.0,0.0,0.0,0.0,0.0,0.0,1.20379819239835,1.2846183082277125e-10
2009-04-28,0.0,0.0,0.0,0.0,0.0,0.0,1.2026511115840481,1.280577807077047e-10
2009-04-29,0.0,0.0,0.0,0.0,0.0,0.0,1.203224466519471,1.3078147272160658e-10
2009-04-30,0.0,0.0,0.0,0.0,0.0,0.0,1.204227744920597,1.308263917327944e-10
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1.2033231375590934,1.210444890236366e-10
2009-05-04,0.0,0.0,0.0,0.0,0.0,0.0,1.2030360273239973,1.2516243090927067e-10
2009-05-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2027486697932637,1.247354911373733e-10
2009-05-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2034665690288227,1.2689771263061538e-10
2009-05-07,0.0,0.0,0.0,0.0,0.0,0.0,1.2017437839704272,1.2513485404372483e-10
2009-05-08,0.0,0.0,0.0,0.0,0.0,0.0,1.2026051146757155,1.280545851887754e-10
2009-05-11,0.0,0.0,0.0,0.0,0.0,0.0,1.2046156282083007,1.2565823149734677e-10
2009-05-12,0.0,0.0,0.0,0.0,0.0,0.0,1.2044717021472966,1.2528636410885514e-10
2009-05-13,0.0,0.0,0.0,0.0,0.0,0.0,1.2050456753218513,1.2213248720767033e-10
2009-05-14,0.0,0.0,0.0,0.0,0.0,0.0,1.205476587970133,1.2317916076722818e-10
