,cash,SPY,LQD,EEM,EFA,TLT,IEF,SHY
2005-06-06,0.0,0.0,1.4489023834997463e-16,0.1401247682781011,1.7294018417110455e-16,0.8400486606458738,1.2099421176140687e-16,0.0
2005-06-07,0.0,0.0,1.451887183124777e-16,0.13942954123958196,1.738226616217879e-16,0.8467164483120947,1.213429094270844e-16,0.0
2005-06-08,0.0,0.0,1.4489023834997463e-16,0.138899882171722,1.7318287487990107e-16,0.8426803878063243,1.2111971940673783e-16,0.0
2005-06-09,0.0,0.0,1.446177991518743e-16,0.13962814358524828,1.738667938586408e-16,0.8419781359847084,1.2105010724279744e-16,0.0
2005-06-10,0.0,0.0,1.4396895254104364e-16,0.1400253958080557,1.7320490440443293e-16,0.8325035549048754,1.2028315690034593e-16,0.0
2005-06-13,0.0,0.0,1.4363165011458811e-16,0.1405815615950461,1.7260931263178972e-16,0.8275026431977465,1.1996257026920355e-16,0.0
2005-06-14,0.0,0.0,1.434759316042203e-16,0.14115756385086567,1.7241074370444768e-16,0.8220631576021847,1.1982306017710298e-16,0.0
2005-06-15,0.0,0.0,1.4320339498462948e-16,0.1422101800486345,1.7343660648945965e-16,0.8235550808400561,1.1978131410693792e-16,0.0
2005-06-16,0.0,0.0,1.4334610772601948e-16,0.1434813618114984,1.7399915920300423e-16,0.8276786177064369,1.2015762476093898e-16,0.0
2005-06-17,0.0,0.0,1.433202423202996e-16,0.14520933689130727,1.76613489763565e-16,0.8275901763243273,1.2001826163329427e-16,0.0
2005-06-20,0.0,0.0,1.431514790723578e-16,0.1438984980346099,1.7495884977123292e-16,0.8261860700428894,1.1983705445918058e-16,0.0
2005-06-21,0.0,0.0,1.436316501145881e-16,0.14320325515226584,1.7628249275946882e-16,0.8322407284612505,1.2021350391294555e-16,0.0
2005-06-22,0.0,0.0,1.4465670929516813e-16,0.14455390954104613,1.7575303138201508e-16,0.8423298579382068,1.2111971940673783e-16,0.0
2005-06-23,0.0,0.0,1.4474759380362795e-16,0.14201157770296824,1.73767467573376e-16,0.8414528804592526,1.2099421176140687e-16,0.0
2005-06-24,0.0,0.0,1.4511089802589e-16,0.1415150956045399,1.7373440760348047e-16,0.8456636098563909,1.2128714458076575e-16,0.0
2005-06-27,0.0,0.0,1.453185129642314e-16,0.1424088299257757,1.7333731157039018e-16,0.8479450342126063,1.213847779676294e-16,0.0
2005-06-28,0.0,0.0,1.4486437294425479e-16,0.14348136181149843,1.7433006210851437e-16,0.8421543943232512,1.2086881025707184e-16,0.0
2005-06-29,0.0,0.0,1.4494222245728965e-16,0.14264716858440016,1.7360204225911704e-16,0.8408383320621291,1.2082699886937083e-16,0.0
2005-06-30,0.0,0.0,1.4546127441636665e-16,0.1422101800486345,1.7337038199568413e-16,0.8483831539732748,1.212452433814528e-16,0.0
2005-07-01,0.0,9.694047018066113e-17,3.6580617102661295e-17,0.21745443878403167,0.0,0.7633729638712178,1.8123142517669277e-17,0.0
2005-07-05,0.0,9.771905969815706e-17,3.6462151552817287e-17,0.21842273560653763,0.0,0.7561561490527182,1.8049343441749597e-17,0.0
2005-07-06,0.0,9.689993975288935e-17,3.654114089236569e-17,0.21736360287190618,0.0,0.7603256540160981,1.8087299186667552e-17,0.0
2005-07-07,0.0,9.728111549084005e-17,3.663656901292066e-17,0.21799916458605767,0.0,0.7619296319302357,1.812947360436577e-17,0.0
2005-07-08,0.0,9.839217524499837e-17,3.656418570544617e-17,0.22026878301015101,0.0,0.7588020766453324,1.8064094639860447e-17,0.0
2005-07-11,0.0,9.889501987772185e-17,3.6363413032433924e-17,0.22362765992447844,0.0,0.7588020766453324,1.8055665911373006e-17,0.0
2005-07-12,0.0,9.915454396789031e-17,3.6281147750750505e-17,0.22629060291731287,0.0,0.7545520677295217,1.800928143796761e-17,0.0
2005-07-13,0.0,9.929240778678128e-17,3.6363413032433924e-17,0.2261392741017097,0.0,0.7534296658031436,1.7992403053815237e-17,0.0
2005-07-14,0.0,9.968171548077214e-17,3.6396357048570014e-17,0.2274404750071608,0.0,0.7515053783287559,1.7969220665196063e-17,0.0
2005-07-15,0.0,9.962490389392948e-17,3.6412793368312775e-17,0.22619986356209631,0.0,0.753509704414809,1.797343195191368e-17,0.0
2005-07-18,0.0,9.922755047885115e-17,3.6383167135796524e-17,0.22550383308369437,0.0,0.7478967123968585,1.7943922169629334e-17,0.0
2005-07-19,0.0,9.977089104536534e-17,3.6412793368312775e-17,0.2280760367213123,0.0,0.7505428468075906,1.7969220665196063e-17,0.0
2005-07-20,0.0,1.0011155360253481e-16,3.645225234976169e-17,0.22810628317305112,0.0,0.754632209750246,1.800294419621891e-17,0.0
2005-07-21,0.0,9.952761362028667e-17,3.6264704047216325e-17,0.2305876026200891,0.0,0.7443687055309807,1.7870105859563486e-17,0.0
2005-07-22,0.0,1.0019264895205945e-16,3.643254501041155e-17,0.23004299751419932,0.0,0.750141567954144,1.7954459619001687e-17,0.0
2005-07-25,0.0,9.990878935823739e-17,3.642922230426409e-17,0.228045741991119,0.0,0.747415756863453,1.7922825112696703e-17,0.0
2005-07-26,0.0,1.0003042375902907e-16,3.643582587507419e-17,0.22934696703579738,0.0,0.7486183525150849,1.793548113103749e-17,0.0
2005-07-27,0.0,1.0039539594936633e-16,3.638975347775993e-17,0.2305876026200891,0.0,0.747415756863453,1.7910174018397678e-17,0.0
2005-07-28,0.0,1.0102798106843588e-16,3.6527985437285584e-17,0.23346239147123163,0.0,0.7540708019689389,1.798819053608718e-17,0.0
2005-07-29,0.0,1.0035484827460402e-16,3.644570538801929e-17,0.23331120749099193,0.0,0.7466138713154431,1.788065685005069e-17,0.0
2005-08-01,0.0,4.253485740748746e-17,1.6024817697138795e-16,0.5761236038732577,0.0,0.40483729486703945,0.0,4.6075037937741796e-17
2005-08-02,0.0,4.278941745964467e-17,1.5995698104173743e-16,0.5863433203091286,0.0,0.40352327554519873,0.0,4.608069053814646e-17
2005-08-03,0.0,4.2902951915920314e-17,1.603355444284512e-16,0.5848728039264588,0.0,0.40549474070526975,0.0,4.6097895091109154e-17
2005-08-04,0.0,4.255894690262378e-17,1.603355444284512e-16,0.5797264364576075,0.0,0.4046623736955101,0.0,4.6097895091109154e-17
2005-08-05,0.0,4.226998269145469e-17,1.6005901460284207e-16,0.5690653246443994,0.0,0.4015082207946034,0.0,4.605786458327608e-17
2005-08-08,0.0,4.21908633672376e-17,1.5933072104283325e-16,0.5729621080168457,0.0,0.4007636239157961,0.0,4.6012104896909436e-17
2005-08-09,0.0,4.244542341939481e-17,1.5959297528196418e-16,0.5845052481425401,0.0,0.4022530427971835,0.0,4.606361361539863e-17
2005-08-10,0.0,4.242479043396147e-17,1.5972400477213884e-16,0.5907546935089407,0.0,0.4018150644970415,0.0,4.606361361539863e-17
2005-08-11,0.0,4.259334008858898e-17,1.602190834129271e-16,0.5874458703620863,0.0,0.4046183901383832,0.0,4.609789509110916e-17
2005-08-12,0.0,4.233190359384807e-17,1.6099100646291708e-16,0.58119677689208,0.0,0.40873596022533853,0.0,4.61551556779479e-17
2005-08-15,0.0,4.259334008858898e-17,1.6075792171621759e-16,0.5852405356585746,0.0,0.4076846322059795,0.0,4.6132258817402596e-17
2005-08-16,0.0,4.203950847675158e-17,1.6118030985169413e-16,0.5750943655691267,0.0,0.4105319695449196,0.0,4.6155155677947904e-17
2005-08-17,0.0,4.203605928241305e-17,1.6075792171621759e-16,0.5754620386518434,0.0,0.4078161889107574,0.0,4.616662254369603e-17
2005-08-18,0.0,4.203264666489677e-17,1.6120931662847422e-16,0.5648745904838567,0.0,0.41083886952830095,0.0,4.6206630361713136e-17
2005-08-19,0.0,4.2128949780208676e-17,1.6106379459761958e-16,0.5626690211827488,0.0,0.41079460456645805,0.0,4.618947686083639e-17
2005-08-22,0.0,4.2128949780208676e-17,1.6099100646291703e-16,0.5696536954157847,0.0,0.4103566262663161,0.0,4.619520320314297e-17
2005-08-23,0.0,4.2049830455991586e-17,1.6112205764851186e-16,0.5642864543100677,0.0,0.4122401805930767,0.0,4.6240948708374635e-17
2005-08-24,0.0,4.167487779338615e-17,1.6106379459761956e-16,0.5569343415919112,0.0,0.4126345693026944,0.0,4.62466778869082e-17
2005-08-25,0.0,4.182622536850773e-17,1.6136958069734086e-16,0.5631836110101146,0.0,0.41394875746736476,0.0,4.624094870837463e-17
2005-08-26,0.0,4.1540714009359396e-17,1.616316396776902e-16,0.562448206195282,0.0,0.4138170600602288,0.0,4.620663036171314e-17
2005-08-29,0.0,4.186063684288406e-17,1.6164634917257195e-16,0.5686244571116538,0.0,0.4143430898960392,0.0,4.621814260709323e-17
2005-08-30,0.0,4.164046997669205e-17,1.6190841900063138e-16,0.5626690211827486,0.0,0.4169711848206638,0.0,4.62867793004162e-17
2005-08-31,0.0,4.216677387210129e-17,1.63044271876424e-16,0.5743591953518903,0.0,0.42047565845264656,0.0,4.6406927548455365e-17
2005-09-01,0.0,6.0132995468318105e-18,0.0,0.4071140131624001,2.231033628608373e-16,0.5931291506009498,0.0,0.0
2005-09-02,0.0,6.0024989255264984e-18,0.0,0.4107121312975899,2.238903262513347e-16,0.5936277895144847,0.0,0.0
2005-09-06,0.0,6.072701137024677e-18,0.0,0.41585259881040254,2.2664471054996396e-16,0.5894479446285159,0.0,0.0
2005-09-07,0.0,6.0830095160076794e-18,0.0,0.4163667972789353,2.260150851372577e-16,0.5838965831473584,0.0,0.0
2005-09-08,0.0,6.062881868387384e-18,0.0,0.4156984212791678,2.242838701060247e-16,0.5845202212439272,0.0,0.0
2005-09-09,0.0,6.116884974913944e-18,0.0,0.4218154558355671,2.2723497660444594e-16,0.5863911754694752,0.0,0.0
2005-09-12,0.0,6.104609192630003e-18,0.0,0.42119849968265294,2.2546422816855306e-16,0.5823369288041589,0.0,0.0
2005-09-13,0.0,6.070739475680838e-18,0.0,0.41646947295399156,2.23929635882006e-16,0.5853938177707231,0.0,0.0
2005-09-14,0.0,6.048644946755704e-18,0.0,0.4149787074418722,2.240870484511267e-16,0.5831480257394377,0.0,0.0
2005-09-15,0.0,6.045699844759446e-18,0.0,0.41739462015072487,2.242445107478004e-16,0.5783443031418526,0.0,0.0
2005-09-16,0.0,6.0886903995640906e-18,0.0,0.4238201737882438,2.2676273889708387e-16,0.5745389366390502,0.0,0.0
2005-09-19,0.0,6.068478710571694e-18,0.0,0.42320329964465475,2.2526745624120807e-16,0.575787091420695,0.0,0.0
2005-09-20,0.0,6.017202511671587e-18,0.0,0.42433416723346373,2.244411832200394e-16,0.5772838068781239,0.0,0.0
2005-09-21,0.0,5.961001801563983e-18,0.0,0.42834372615280486,2.2467721505050267e-16,0.5826487478524432,0.0,0.0
2005-09-22,0.0,5.982199541189299e-18,0.0,0.4240772320178476,2.2444118322003944e-16,0.5820871700531379,0.0,0.0
2005-09-23,0.0,5.987130316349996e-18,0.0,0.4237174161038624,2.234967823966448e-16,0.5777208647244898,0.0,0.0
2005-09-26,0.0,5.994032148784331e-18,0.0,0.4274696707656243,2.259363912845857e-16,0.5751007141175617,0.0,0.0
2005-09-27,0.0,5.992551767844702e-18,0.0,0.42464260430525824,2.250707589051927e-16,0.5759112918869046,0.0,0.0
2005-09-28,0.0,5.998470681622718e-18,0.0,0.4294744707276262,2.2739226485468415e-16,0.5797790781095417,0.0,0.0
2005-09-29,0.0,6.047275750985376e-18,0.0,0.437030809944629,2.301073395226421e-16,0.5771588476309311,0.0,0.0
2005-09-30,0.0,6.0660122789991444e-18,0.0,0.4363112191213211,2.286120320029898e-16,0.5751633734524437,0.0,0.0
2005-10-03,0.0,4.037695461499684e-16,0.0,0.6882694304156753,3.441126426594111e-17,0.3214839931138312,0.0,0.0
2005-10-04,0.0,3.992247495861985e-16,0.0,0.6818235597676677,3.4185428130652075e-17,0.32254231143296963,0.0,0.0
